pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
0,0,0,0.9417857142857143,0.028294862248696928,0.02562500000000001,0.07246376811594202,0.057920446615492005,0.07722007722007718,0.04791830322073842,0.035100286532951275,0.06986027944111772,0.10243183492999264,0.06971830985915495
1,0,1,0.9371428571428572,0.03350707371556216,0.03374999999999995,0.07898550724637676,0.07187718073970695,0.07722007722007718,0.05734485467399841,0.04083094555873923,0.06121091151031266,0.07737656595431097,0.09999999999999998
2,0,2,0.9455,0.03350707371556216,0.021874999999999978,0.07028985507246377,0.10048848569434754,0.05714285714285716,0.0463472113118617,0.0322349570200573,0.04790419161676651,0.07369196757553431,0.06478873239436622
3,0,3,0.9439285714285715,0.04690990320178701,0.022499999999999964,0.06666666666666665,0.06140963014654566,0.08416988416988413,0.062058130400628464,0.026504297994269344,0.03992015968063867,0.0648489314664702,0.0936619718309859
4,0,4,0.9415,0.06105733432613547,0.03687499999999999,0.07101449275362315,0.052337752965806006,0.06718146718146722,0.06362922230950507,0.021489971346704828,0.05854956753160345,0.07958732498157706,0.07816901408450705
5,0,5,0.9534285714285714,0.017870439314966458,0.01937500000000003,0.04347826086956519,0.05512909979064895,0.037065637065637036,0.05734485467399841,0.021489971346704828,0.03659347970725213,0.11790714812085479,0.06478873239436622
6,0,6,0.9467857142857142,0.02978406552494417,0.04874999999999996,0.050000000000000044,0.07117934403349613,0.06949806949806947,0.04948939512961503,0.02936962750716332,0.04856952761144373,0.06779661016949157,0.0683098591549296
7,0,7,0.9315714285714286,0.06180193596425909,0.02375000000000005,0.07101449275362315,0.10327983251919048,0.07027027027027022,0.0667714061272584,0.0580229226361032,0.055888223552894245,0.07369196757553431,0.10563380281690138
8,0,8,0.9462142857142857,0.045420699925539876,0.02312499999999995,0.06956521739130439,0.06140963014654566,0.06332046332046337,0.0816967792615868,0.025787965616045794,0.03393213572854292,0.07221812822402363,0.07042253521126762
9,0,9,0.942,0.021593447505584562,0.02375000000000005,0.08043478260869563,0.09630146545708307,0.07104247104247108,0.08012568735271008,0.03939828080229224,0.05123087159015305,0.05011053795136333,0.07183098591549297
10,0,10,0.9458571428571428,0.026061057334326176,0.026249999999999996,0.10434782608695647,0.04117236566643401,0.05328185328185331,0.05970149253731338,0.03151862464183386,0.04524284763805719,0.08695652173913049,0.07253521126760565
11,0,11,0.9499285714285715,0.045420699925539876,0.022499999999999964,0.047826086956521685,0.05512909979064895,0.05250965250965256,0.04556166535742345,0.03295128939828085,0.0691949434464405,0.07148120854826823,0.06056338028169017
12,0,12,0.9509285714285715,0.026061057334326176,0.030000000000000027,0.06521739130434778,0.06071179344033495,0.05868725868725866,0.03220738413197177,0.04727793696275073,0.042581503659347986,0.056742815033161365,0.07253521126760565
13,0,13,0.9477857142857142,0.04095309009679826,0.02375000000000005,0.05797101449275366,0.08792742498255413,0.0455598455598456,0.04556166535742345,0.03295128939828085,0.05788423153692612,0.056742815033161365,0.073943661971831
14,0,14,0.9410714285714286,0.05286671630677586,0.034375000000000044,0.07898550724637676,0.0635031402651779,0.07953667953667953,0.04006284367635504,0.04154727793696278,0.06054557551563544,0.10022107590272655,0.04225352112676062
15,0,15,0.9418571428571428,0.02978406552494417,0.038124999999999964,0.07391304347826089,0.0460572226099093,0.05096525096525095,0.07541241162608014,0.0322349570200573,0.08183632734530943,0.06705969049373617,0.08732394366197183
16,0,16,0.9366428571428571,0.04690990320178701,0.03374999999999995,0.09347826086956523,0.047452896022330826,0.084942084942085,0.10133542812254515,0.028653295128939882,0.055222887558216915,0.060427413411938136,0.0908450704225352
17,0,17,0.9373571428571429,0.04169769173492177,0.04749999999999999,0.061594202898550776,0.03419399860432659,0.06332046332046337,0.05970149253731338,0.023638968481375366,0.08782435129740518,0.10537951363301401,0.102112676056338
18,0,18,0.9473571428571429,0.02903946388682055,0.01937500000000003,0.07173913043478264,0.052337752965806006,0.044015444015443994,0.05341712490180672,0.03724928366762181,0.07119095143047238,0.08253500368459843,0.0683098591549296
19,0,19,0.9422857142857143,0.02084884586746094,0.030000000000000027,0.05579710144927541,0.0928122819260293,0.10270270270270265,0.04477611940298509,0.05730659025787965,0.06520292747837653,0.06337509211495951,0.04788732394366202
20,0,20,0.9452142857142857,0.04318689501116901,0.030625000000000013,0.06739130434782614,0.07257501744591766,0.026254826254826225,0.05184603299293011,0.027220630372492782,0.03792415169660679,0.09137803979366244,0.10140845070422533
21,0,21,0.9506428571428571,0.024571854058078935,0.02749999999999997,0.07463768115942027,0.08932309839497554,0.04169884169884175,0.04006284367635504,0.03008595988538687,0.043912175648702645,0.07958732498157706,0.04366197183098597
22,0,22,0.9423571428571429,0.04169769173492177,0.03500000000000003,0.09420289855072461,0.057222609909281186,0.07181467181467183,0.03692065985860171,0.035100286532951275,0.09181636726546905,0.05011053795136333,0.06197183098591552
23,0,23,0.9421428571428572,0.0580789277736411,0.02312499999999995,0.05652173913043479,0.04396371249127706,0.0517374517374517,0.06834249803613512,0.04297994269340977,0.031270791749833715,0.1068533529845247,0.10422535211267603
24,0,24,0.9482142857142857,0.036485480268056536,0.02749999999999997,0.05579710144927541,0.07676203768318213,0.044015444015443994,0.02356637863315003,0.03939828080229224,0.05788423153692612,0.08843036109064117,0.06760563380281692
